"","X","tree.size","tree.number","sig2.1","sig2.2","sig2.3","sig2.4","root.1","root.2","r.term.1","r.term.2","r.term.3","r.term.4","est.sig2.1","est.sig2.2","est.sig2.3","est.sig2.4","est.root.1","est.root.2","est.r.term.1","est.r.term.2","est.r.term.3","est.r.term.4","log.likelihood","convergence"
"695",11,50,2,0.01,0,0,0.005,0,0,0.0782404601085629,0,0,0.0782404601085629,0.501130994734126,-0.00160826539004354,0.0993992777570922,0.998872027187979,1.00204019229848,0.500949305701273,-0.096085273408467,-0.0520747304594191,-0.0543329322962875,-0.0979706560516247,-7486568.81077898,1
"696",12,50,3,0.01,0,0,0.005,0,0,0.0921034037197618,0,0,0.0921034037197618,0.500916076968818,-0.00325101507952046,0.0978576801897988,0.999458596555068,0.998658813592254,0.503094346854541,-0.0923778376757655,-0.0528434961328238,-0.053006922437255,-0.0948303815443118,-30717705.446008,1
"697",13,50,1,0.01,0.005,0.005,0.005,0,0,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.501116640139487,-0.00462422296039822,0.0986655029537525,1.00041870256862,0.998878413221091,0.502943259113211,-0.0956138412752677,-0.0502905007606425,-0.0504125157447587,-0.0971814937458637,-69321.713882846,1
"698",14,50,2,0.01,0.005,0.005,0.005,0,0,0.0782404601085629,0.0782404601085629,0.0782404601085629,0.0782404601085629,0.49757482272823,-0.00104482909044707,0.09843095833953,0.996438727961583,0.999961474757134,0.497666062453209,-0.090693694626296,-0.0515969263985386,-0.0510373772565654,-0.0937904838253657,-1558736.27376105,1
"699",15,50,3,0.01,0.005,0.005,0.005,0,0,0.0921034037197618,0.0921034037197618,0.0921034037197618,0.0921034037197618,0.500348984189407,0.001965924162003,0.0987931353781738,0.999540969862089,0.999365312604698,0.499607258868845,-0.095992505711952,-0.0523670102372266,-0.0531047507853236,-0.0970325100762537,-27497523.086732,1
"700",16,50,1,0.01,-0.005,-0.005,0.005,0,0,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.569444338523149,-0.0059050459821875,0.0719930447815725,1.02689249914904,0.945914420705735,0.460318427648567,-0.0279746892369818,-0.042983795020768,-0.0324337139897455,-0.143870632427993,-569012.673342637,1
"701",17,50,2,0.01,-0.005,-0.005,0.005,0,0,0.0782404601085629,0.0782404601085629,0.0782404601085629,0.0782404601085629,0.498849521558451,-0.00152659107802582,0.0999664733414259,0.998313597715256,0.999957640209354,0.498910102422916,-0.0951586316330459,-0.0479846960406642,-0.053623380308295,-0.0969515718724204,-11187508.4504973,1
"702",18,50,3,0.01,-0.005,-0.005,0.005,0,0,0.0921034037197618,0.0921034037197618,0.0921034037197618,0.0921034037197618,0.500342923165322,-0.00286592931971412,0.0979752899207168,0.999293548012551,0.998419279228549,0.503480054847303,-0.0929252320407484,-0.0526006936761655,-0.0531407248266325,-0.0950401771229125,-126341729.629253,1
"703",19,100,1,0.01,0,0,0.005,0,0,0.0230258509299405,0,0,0.0230258509299405,0.522697208392838,0.00903733394753009,0.063390676521491,1.0277044460735,0.956394831541909,0.484755586267475,-0.0360630074979294,-0.0407746874783163,-0.041692396872994,-0.135097862001385,-2490909.34542884,1
"704",20,100,2,0.01,0,0,0.005,0,0,0.0391202300542815,0,0,0.0391202300542815,0.533842239226741,0.0165891940346798,0.0987408584287403,1.01361819032551,0.927591326897255,0.477626434637316,-0.00608212769067156,-0.0541300352611831,-0.0396427034542156,-0.148793600334843,-42937717.8221719,1
"705",21,100,3,0.01,0,0,0.005,0,0,0.0460517018598809,0,0,0.0460517018598809,0.57367021165404,-0.00162402809291904,0.0804934296034266,1.01904268793541,1.0056192484188,0.439688578956351,-0.023721530787422,-0.049457331042095,-0.0507417641615554,-0.17540126597854,-56496704.6708661,1
"706",22,100,1,0.01,0.005,0.005,0.005,0,0,0.0230258509299405,0.0230258509299405,0.0230258509299405,0.0230258509299405,0.553795476309042,0.00238660709620951,0.0993242467534948,1.0461063939398,0.834156818538947,0.468699165123172,0.00502969206164067,-0.0270172684861507,-0.0141564524580114,-0.100643278780374,-1670021.15447056,1
"707",23,100,2,0.01,0.005,0.005,0.005,0,0,0.0391202300542815,0.0391202300542815,0.0391202300542815,0.0391202300542815,0.545588292567508,-0.0571910774899429,0.102350564983305,1.0412108082072,0.866526196297581,0.534802695550428,-0.00518050264866785,-0.0438132800706452,-0.0265219709815192,-0.112029496182453,-23429424.9991895,1
"708",24,100,3,0.01,0.005,0.005,0.005,0,0,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.55088951289858,-0.0664149913107469,0.0970693047355009,1.04323835581102,0.872131145249578,0.534740652718523,-0.0087344727585479,-0.0481825346370756,-0.023667543981029,-0.109525751373829,-59816093.5203742,1
"709",25,100,1,0.01,-0.005,-0.005,0.005,0,0,0.0230258509299405,0.0230258509299405,0.0230258509299405,0.0230258509299405,0.53086845653279,0.014739815692439,0.0539168989786573,1.02916511643656,0.947707083603692,0.484122836071556,-0.0219520205611863,-0.0558397928787194,-0.0409525106367003,-0.149810446558518,-3622434.98504636,1
"710",26,100,2,0.01,-0.005,-0.005,0.005,0,0,0.0391202300542815,0.0391202300542815,0.0391202300542815,0.0391202300542815,0.527206264480764,0.00361174955558981,0.107222935779968,1.01074179159716,0.924849351362186,0.496928555684222,-0.00343356893339219,-0.0450071844930066,-0.0491750461477338,-0.161861506116713,-31162439.770785,1
